model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,model
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Nodule,22294,1280,21014,0.7549999999999999,0.7652034060626248,0.2286162863661568,0.3359375,0.3359375,0.6640625,0.945988388693252,0.945988388693252,0.0540116113067478,430,1135,19879,850,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Mass,22294,1076,21218,0.845,0.834149329968488,0.2992336411877247,0.3652416356877323,0.3652416356877323,0.6347583643122676,0.9651710811575078,0.9651710811575078,0.0348289188424922,393,739,20479,683,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Pneumothorax,22294,1020,21274,0.72,0.8612774130993002,0.2980250664058918,0.5254901960784314,0.5254901960784314,0.4745098039215686,0.9411018144213594,0.9411018144213594,0.0588981855786405,536,1253,20021,484,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Consolidation,22294,951,21343,0.7649999999999999,0.8095554641471853,0.1560634018202983,0.3774973711882229,0.3774973711882229,0.6225026288117771,0.9170688281872276,0.9170688281872276,0.0829311718127723,359,1770,19573,592,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Infiltration,22294,4097,18197,0.57,0.7096233773429892,0.3475275110809154,0.5318525750549182,0.5318525750549182,0.4681474249450817,0.761554102324559,0.761554102324559,0.238445897675441,2179,4339,13858,1918,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Effusion,22294,2553,19741,0.6749999999999999,0.8748225080797105,0.49678189149021,0.6419898159028594,0.6419898159028594,0.3580101840971406,0.8933691302365635,0.8933691302365635,0.1066308697634365,1639,2105,17636,914,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Atelectasis,22294,2207,20087,0.625,0.8157808390772456,0.3522541300968985,0.5550521069324875,0.5550521069324875,0.4449478930675125,0.8674764773236422,0.8674764773236422,0.1325235226763578,1225,2662,17425,982,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Nodule,22294,1280,21014,0.7499999999999999,0.7765722777077186,0.2269453254095065,0.38828125,0.38828125,0.61171875,0.9260493004663558,0.9260493004663558,0.0739506995336442,497,1554,19460,783,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Mass,22294,1076,21218,0.845,0.8333227627100648,0.3022907658850491,0.3763940520446097,0.3763940520446097,0.6236059479553904,0.9631444999528702,0.9631444999528702,0.0368555000471297,405,782,20436,671,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Pneumothorax,22294,1020,21274,0.845,0.8703772164125593,0.3137802897936939,0.4078431372549019,0.4078431372549019,0.592156862745098,0.9671429914449564,0.9671429914449564,0.0328570085550437,416,699,20575,604,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,2026,Consolidation,22294,951,21343,0.7999999999999999,0.8101668541063782,0.1517471616692483,0.3449001051524711,0.3449001051524711,0.655099894847529,0.9284542941479642,0.9284542941479642,0.0715457058520357,328,1527,19816,623,Final Dynamic
