model_variant,seed,label,support,positive_support,negative_support,threshold,AUROC,AUPRC,TPR,Recall,FNR,TNR,Specificity,FPR,TP,FP,TN,FN,group,model
r50_dynamic_grl,123,Effusion,9553,1127,8426,0.69,0.8662029957133989,0.4995690666495112,0.6131322094055013,0.6131322094055013,0.3868677905944986,0.8980536434844529,0.8980536434844529,0.1019463565155471,691,859,7567,436,Female,Standard Dynamic GRL
r50_dynamic_grl,123,Effusion,12741,1426,11315,0.69,0.8756192210937709,0.4936211072518832,0.6598877980364657,0.6598877980364657,0.3401122019635343,0.8854617764030048,0.8854617764030048,0.1145382235969951,941,1296,10019,485,Male,Standard Dynamic GRL
r50_dynamic_grl,123,Atelectasis,9553,848,8705,0.565,0.806332973892688,0.3174984245572375,0.5259433962264151,0.5259433962264151,0.4740566037735849,0.8770821367030442,0.8770821367030442,0.1229178632969557,446,1070,7635,402,Female,Standard Dynamic GRL
r50_dynamic_grl,123,Atelectasis,12741,1359,11382,0.565,0.8077701401422719,0.3563966181640748,0.5739514348785872,0.5739514348785872,0.4260485651214128,0.8458970303988754,0.8458970303988754,0.1541029696011245,780,1754,9628,579,Male,Standard Dynamic GRL
r50_dynamic_grl,123,Nodule,9553,576,8977,0.705,0.7647377015954352,0.2286611217354544,0.296875,0.296875,0.703125,0.952656789573354,0.952656789573354,0.0473432104266458,171,425,8552,405,Female,Standard Dynamic GRL
r50_dynamic_grl,123,Nodule,12741,704,12037,0.705,0.7691828037792563,0.2290964579391952,0.3622159090909091,0.3622159090909091,0.6377840909090909,0.9427598238763812,0.9427598238763812,0.0572401761236188,255,689,11348,449,Male,Standard Dynamic GRL
r50_dynamic_grl,123,Mass,9553,423,9130,0.82,0.8423921346248955,0.3048560241064671,0.3711583924349881,0.3711583924349881,0.6288416075650118,0.9713033953997808,0.9713033953997808,0.028696604600219,157,262,8868,266,Female,Standard Dynamic GRL
r50_dynamic_grl,123,Mass,12741,653,12088,0.82,0.8301601172818422,0.2851868218724259,0.4012251148545176,0.4012251148545176,0.5987748851454824,0.9526803441429516,0.9526803441429516,0.0473196558570483,262,572,11516,391,Male,Standard Dynamic GRL
r50_dynamic_grl,123,Pneumothorax,9553,574,8979,0.84,0.8404667996133448,0.298703445874509,0.440766550522648,0.440766550522648,0.5592334494773519,0.9504399153580576,0.9504399153580576,0.0495600846419423,253,445,8534,321,Female,Standard Dynamic GRL
r50_dynamic_grl,123,Pneumothorax,12741,446,12295,0.84,0.8769070149555855,0.2667464875973911,0.3520179372197309,0.3520179372197309,0.647982062780269,0.974705164701098,0.974705164701098,0.0252948352989019,157,311,11984,289,Male,Standard Dynamic GRL
r50_dynamic_grl,123,Consolidation,9553,368,9185,0.725,0.79610482592128,0.1254416916986104,0.3016304347826087,0.3016304347826087,0.6983695652173914,0.9277082199237888,0.9277082199237888,0.0722917800762112,111,664,8521,257,Female,Standard Dynamic GRL
r50_dynamic_grl,123,Consolidation,12741,583,12158,0.725,0.8148493379197908,0.1491914593370053,0.4236706689536878,0.4236706689536878,0.5763293310463122,0.8940615232768547,0.8940615232768547,0.1059384767231452,247,1288,10870,336,Male,Standard Dynamic GRL
r50_dynamic_grl,2026,Infiltration,9553,1685,7868,0.585,0.7101580756065586,0.342659432112435,0.4522255192878338,0.4522255192878338,0.5477744807121662,0.8336298932384342,0.8336298932384342,0.1663701067615658,762,1309,6559,923,Female,Standard Dynamic GRL
r50_dynamic_grl,2026,Infiltration,12741,2412,10329,0.585,0.7032682578972694,0.3491270849585078,0.4742951907131011,0.4742951907131011,0.5257048092868989,0.8135347081033982,0.8135347081033982,0.1864652918966018,1144,1926,8403,1268,Male,Standard Dynamic GRL
r50_dynamic_grl,2026,Effusion,9553,1127,8426,0.6799999999999999,0.8698447004886848,0.4973920997805284,0.6282165039929015,0.6282165039929015,0.3717834960070985,0.8933064324709233,0.8933064324709233,0.1066935675290766,708,899,7527,419,Female,Standard Dynamic GRL
r50_dynamic_grl,2026,Effusion,12741,1426,11315,0.6799999999999999,0.8771279730824367,0.4859177320046254,0.6332398316970547,0.6332398316970547,0.3667601683029453,0.8985417587273531,0.8985417587273531,0.1014582412726469,903,1148,10167,523,Male,Standard Dynamic GRL
r50_dynamic_grl,2026,Atelectasis,9553,848,8705,0.6449999999999999,0.8072460253812057,0.3218298652768778,0.4481132075471698,0.4481132075471698,0.5518867924528302,0.8959218839747272,0.8959218839747272,0.1040781160252728,380,906,7799,468,Female,Standard Dynamic GRL
r50_dynamic_grl,2026,Atelectasis,12741,1359,11382,0.6449999999999999,0.8049646958153592,0.3477338714880649,0.5084621044885945,0.5084621044885945,0.4915378955114054,0.8808645229309436,0.8808645229309436,0.1191354770690564,691,1356,10026,668,Male,Standard Dynamic GRL
r50_dynamic_grl,2026,Nodule,9553,576,8977,0.725,0.7603280915425841,0.2370299436713151,0.3993055555555556,0.3993055555555556,0.6006944444444444,0.9113289517656232,0.9113289517656232,0.0886710482343767,230,796,8181,346,Female,Standard Dynamic GRL
r50_dynamic_grl,2026,Nodule,12741,704,12037,0.725,0.7481214408981398,0.2168455925897205,0.4318181818181818,0.4318181818181818,0.5681818181818182,0.9000581540250893,0.9000581540250893,0.0999418459749107,304,1203,10834,400,Male,Standard Dynamic GRL
r50_dynamic_grl,2026,Mass,9553,423,9130,0.8699999999999999,0.84273159692283,0.2925163919933695,0.4231678486997636,0.4231678486997636,0.5768321513002365,0.9605695509309968,0.9605695509309968,0.0394304490690032,179,360,8770,244,Female,Standard Dynamic GRL
r50_dynamic_grl,2026,Mass,12741,653,12088,0.8699999999999999,0.8344769165983401,0.2918529914671128,0.448698315467075,0.448698315467075,0.5513016845329249,0.9499503639973528,0.9499503639973528,0.0500496360026472,293,605,11483,360,Male,Standard Dynamic GRL
r50_dynamic_grl,2026,Pneumothorax,9553,574,8979,0.8049999999999999,0.8516726795352533,0.3421741666976937,0.4773519163763066,0.4773519163763066,0.5226480836236934,0.945762334335672,0.945762334335672,0.0542376656643278,274,487,8492,300,Female,Standard Dynamic GRL
r50_dynamic_grl,2026,Pneumothorax,12741,446,12295,0.8049999999999999,0.8768402701160011,0.2426762904357384,0.4417040358744394,0.4417040358744394,0.5582959641255605,0.9581130540870272,0.9581130540870272,0.0418869459129727,197,515,11780,249,Male,Standard Dynamic GRL
r50_dynamic_grl,2026,Consolidation,9553,368,9185,0.6699999999999999,0.7833125251473337,0.1260441550931816,0.328804347826087,0.328804347826087,0.6711956521739131,0.913119216113228,0.913119216113228,0.0868807838867719,121,798,8387,247,Female,Standard Dynamic GRL
r50_dynamic_grl,2026,Consolidation,12741,583,12158,0.6699999999999999,0.8231295377021306,0.1582171061008814,0.444253859348199,0.444253859348199,0.5557461406518011,0.8929922684652081,0.8929922684652081,0.1070077315347919,259,1301,10857,324,Male,Standard Dynamic GRL
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Infiltration,9553,1685,7868,0.5049999999999999,0.7042312020745868,0.3310340716993778,0.599406528189911,0.599406528189911,0.400593471810089,0.6981443823080834,0.6981443823080834,0.3018556176919166,1010,2375,5493,675,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Infiltration,12741,2412,10329,0.5049999999999999,0.7086587386108152,0.3541687815194936,0.593698175787728,0.593698175787728,0.4063018242122719,0.7105237680317552,0.7105237680317552,0.2894762319682447,1432,2990,7339,980,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Effusion,9553,1127,8426,0.7499999999999999,0.8715967878188335,0.5092560149554437,0.6033717834960071,0.6033717834960071,0.3966282165039929,0.908616187989556,0.908616187989556,0.0913838120104438,680,770,7656,447,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Effusion,12741,1426,11315,0.7499999999999999,0.8765563343226821,0.4794901485067921,0.591164095371669,0.591164095371669,0.4088359046283309,0.9085285019885108,0.9085285019885108,0.0914714980114891,843,1035,10280,583,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Atelectasis,9553,848,8705,0.7,0.8149552144180855,0.3330799423005448,0.4716981132075472,0.4716981132075472,0.5283018867924528,0.902010338885698,0.902010338885698,0.0979896611143021,400,853,7852,448,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Atelectasis,12741,1359,11382,0.7,0.8119932405568142,0.3584722853146854,0.5011037527593819,0.5011037527593819,0.4988962472406181,0.8891231769460551,0.8891231769460551,0.1108768230539448,681,1262,10120,678,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Nodule,9553,576,8977,0.715,0.7677823264391718,0.2415110047104198,0.3680555555555556,0.3680555555555556,0.6319444444444444,0.9319371727748692,0.9319371727748692,0.0680628272251308,212,611,8366,364,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Nodule,12741,704,12037,0.715,0.772634518945373,0.2173457067457955,0.3963068181818182,0.3963068181818182,0.6036931818181818,0.9240674586691036,0.9240674586691036,0.0759325413308964,279,914,11123,425,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Mass,9553,423,9130,0.7799999999999999,0.8430829701785867,0.2791367826862015,0.4373522458628842,0.4373522458628842,0.5626477541371159,0.954764512595838,0.954764512595838,0.0452354874041621,185,413,8717,238,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Mass,12741,653,12088,0.7799999999999999,0.8333028439731909,0.3020332544123928,0.4563552833078101,0.4563552833078101,0.5436447166921899,0.9440767703507612,0.9440767703507612,0.0559232296492389,298,676,11412,355,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Pneumothorax,9553,574,8979,0.6599999999999999,0.857994049607815,0.3685960519258888,0.5714285714285714,0.5714285714285714,0.4285714285714285,0.929724913687493,0.929724913687493,0.0702750863125069,328,631,8348,246,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Pneumothorax,12741,446,12295,0.6599999999999999,0.8780205231263576,0.2785671399138474,0.4977578475336323,0.4977578475336323,0.5022421524663677,0.9491663277755183,0.9491663277755183,0.0508336722244815,222,625,11670,224,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Consolidation,9553,368,9185,0.7499999999999999,0.786088790797851,0.1314462315779234,0.3885869565217391,0.3885869565217391,0.6114130434782609,0.906804572672836,0.906804572672836,0.0931954273271638,143,856,8329,225,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,42,Consolidation,12741,583,12158,0.7499999999999999,0.8230452416538449,0.1603501832409294,0.4476843910806174,0.4476843910806174,0.5523156089193825,0.898914295114328,0.898914295114328,0.1010857048856719,261,1229,10929,322,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Infiltration,9553,1685,7868,0.4949999999999999,0.7095112003849873,0.3374616268476017,0.6189910979228487,0.6189910979228487,0.3810089020771513,0.6888662938485003,0.6888662938485003,0.3111337061514997,1043,2448,5420,642,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Infiltration,12741,2412,10329,0.4949999999999999,0.7108108206827868,0.353776827388652,0.6268656716417911,0.6268656716417911,0.373134328358209,0.6701519992254816,0.6701519992254816,0.3298480007745183,1512,3407,6922,900,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Effusion,9553,1127,8426,0.7699999999999999,0.8705626792972526,0.5133981482136865,0.5696539485359361,0.5696539485359361,0.4303460514640639,0.9197721338713506,0.9197721338713506,0.0802278661286494,642,676,7750,485,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Effusion,12741,1426,11315,0.7699999999999999,0.8758865870188082,0.4847704248121965,0.5490883590462833,0.5490883590462833,0.4509116409537166,0.9216968625718074,0.9216968625718074,0.0783031374281926,783,886,10429,643,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Atelectasis,9553,848,8705,0.6799999999999999,0.8151143210906767,0.3392773682075735,0.5141509433962265,0.5141509433962265,0.4858490566037736,0.8811028144744399,0.8811028144744399,0.11889718552556,436,1035,7670,412,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Atelectasis,12741,1359,11382,0.6799999999999999,0.8112640642331997,0.3561615324256261,0.5577630610743194,0.5577630610743194,0.4422369389256806,0.8597785977859779,0.8597785977859779,0.1402214022140221,758,1596,9786,601,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Nodule,9553,576,8977,0.7549999999999999,0.7522443543995149,0.2383034945490525,0.3159722222222222,0.3159722222222222,0.6840277777777778,0.9476439790575916,0.9476439790575916,0.0523560209424083,182,470,8507,394,Female,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Nodule,12741,704,12037,0.7549999999999999,0.7748797859063343,0.2214406159342426,0.3522727272727273,0.3522727272727273,0.6477272727272727,0.9447536761651576,0.9447536761651576,0.0552463238348425,248,665,11372,456,Male,Final Dynamic
r50_dynamic_eo_gradnorm_common_epoch_v2,123,Mass,9553,423,9130,0.845,0.8398110818515842,0.2999143775681509,0.3475177304964539,0.3475177304964539,0.6524822695035462,0.968893756845564,0.968893756845564,0.0311062431544359,147,284,8846,276,Female,Final Dynamic
